Nome,Email,Regione,Provincia
Terre Grecaniche,info@terregrecaniche.it,Calabria,Reggio Calabria
Tramontana Vincenzo,info@vinitramontana.it,Calabria,Reggio Calabria
Vinicola Zito,info@zito.it,Calabria,Crotone
Vulcano,g.vulcano@cantinevulcano.it,Calabria,Crotone
Agricola Irpina,info@agricolairpina.it,Campania,Avellino
Agricola San Teodoro,info@agricolasanteodoro.it,Campania,Caserta
Aia dei Colombi,info@aiadeicolombi.it,Campania,Benevento
Alois,info@vinialois.it,Campania,Caserta
Azienda Agricola Ametrano,info@ametrano.it,Campania,Napoli
Azienda Agricola Antonio Napolitano,posta@cantineantonionapolitano.it,Campania,Avellino
Azienda Agricola Apicella Giuseppe,info@giuseppeapicella.it,Campania,Salerno
Azienda Agricola Carlo Centrella,info@centrellavino.it,Campania,Avellino
Azienda Agricola Case d&#039;Alto,info@casedalto.it,Campania,Avellino
Azienda Agricola Colline del Sole,collinedelsole@hotmail.it,Campania,Avellino
Azienda Agricola Corte Normanna,info@cortenormanna.it,Campania,Benevento
Azienda Agricola De Fortuna,info@vinidefortuna.it,Campania,Benevento
Azienda Agricola Del Nonno,info@delnonno.it,Campania,Avellino
Azienda Agricola Donnachiara,info@donnachiara.it,Campania,Avellino
Azienda Agricola Filadoro,info@filadoro.it,Campania,Avellino
Azienda Agricola Foresta,posta@forestavini.it,Campania,Benevento
Azienda Agricola Macchialupa,info@macchialupa.it,Campania,Avellino
Azienda Agricola Maiellaro Carmine,comunicazione@maiellaro.it,Campania,Benevento
Azienda Agricola Morone,info@morone.it,Campania,Benevento
Azienda Agricola Romano Nicola,info@romanonicola.com,Campania,Avellino
Azienda Agricola Ruffano,info@ruffanoischia.it,Campania,Napoli
Azienda Agricola San Salvatore,info@sansalvatore1988.it,Campania,Salerno
Azienda Agricola Terra di Vento,info@terradivento.it,Campania,Salerno
Azienda Agricola Vadiaperti,info@vadiaperti.it,Campania,Avellino
Azienda Agricola Vega,info@danticheterre.it,Campania,Avellino
Azienda Agricola del Pozzo,delpozzo@aziendaagricoladelpozzo.it,Campania,Avellino
Azienda Vinicola AltaVigna,info@altavigna.it,Campania,Avellino
Azienda Vinicola La Mura,info@vinicolailcantiniere.it,Campania,Napoli
Azienda Vinicola Sepe,info@sepevini.it,Campania,Napoli
Azienda Vinicola Struzziero,struzziero@struzziero.it,Campania,Avellino
Azienda Vitivinicola Castello Ducale,innstoresrl@gmail.com,Campania,Benevento
Azienda Vitivinicola Guerriero,guerrierowine@hotmail.it,Campania,Avellino
Azienda Vitivinicola Il Cancelliere,info@ilcancelliere.it,Campania,Avellino
Azienda Vitivinicola Michele Contrada,info@vinicontrada.it,Campania,Avellino
Azienda Vitivinicola Vestini Campagnano,info@vestinicampagnano.it,Campania,Caserta
Bosco de&#039; Medici,info@boscodemedici.com,Campania,Napoli
Canlibero,info@canlibero.com,Campania,Benevento
Cantina Di Prisco,cantinadiprisco@libero.it,Campania,Avellino
Cantina Dryas,info@cantinadryas.it,Campania,Avellino
Cantina Riccio,info@cantinariccio.it,Campania,Avellino
Cantina Sociale Solopaca,info@cantinasolopaca.it,Campania,Benevento
Cantina dei Monaci,info@cantinadeimonaci.it,Campania,Avellino
Cantine Antica Hirpinia,info@anticahirpinia.it,Campania,Avellino
Cantine Babbo,info@cantinebabbo.it,Campania,Napoli
Cantine Bonaparte,info@cantinebonaparte.com,Campania,Caserta
Cantine Caputo,info@caputo.it,Campania,Caserta
Cantine Catena,info@cantinecatena.it,Campania,Avellino
Cantine Di Criscio Francesco,info@cantinedicriscio.it,Campania,Napoli
Cantine Elmi,info@cantineelmi.it,Campania,Avellino
Cantine Famiglietti,cantinefamiglietti@hotmail.it,Campania,Avellino
Cantine Farro,info@cantinefarro.it,Campania,Napoli
Cantine Ferraro,info@ferrarovini.it,Campania,Napoli
Cantine Iannella,info@cantineiannella.it,Campania,Benevento
Cantine Pietratorcia,info@pietratorcia.it,Campania,Napoli
Cantine Sammarco,info@cantinesammarco.com,Campania,Salerno
Cantine Terranera,info@cantineterranera.it,Campania,Avellino
Cantine Tora,info@cantinetora.it,Campania,Benevento
Casa Vinicola Cuomo,info@vinicuomo.com,Campania,Salerno
Casa Vinicola Sammarco,info@ettoresammarco.it,Campania,Salerno
Colli Frigentini,info@collifrigentini.it,Campania,Avellino
Colli di Castelfranci,cantina@collidicastelfranci.com,Campania,Avellino
Colli di Lapio,info@collidilapio.it,Campania,Avellino
Contrade di Taurasi,lonardos@libero.it,Campania,Avellino
Crypta Castagnara Cantine,info@cryptacastagnara.it,Campania,Avellino
D&#039;Ambra Vini d&#039;Ischia,info@dambravini.com,Campania,Napoli
De Falco Vini,defalcovini@tin.it,Campania,Napoli
De Lisio Cantine,info@fratellidelisiocantine.it,Campania,Avellino
DodiciEttari,marco.colombini@dodiciettari.it,Campania,Avellino
Elena Catalano,info@elenacatalano.it,Campania,Benevento
Enodelta,info@enodelta.it,Campania,Napoli
Fattoria Ciabrelli,fattoria@ciabrelli.it,Campania,Benevento
Fattoria Selvanova,info@selvanova.com,Campania,Caserta
Fattoria Villa Matilde,info@villamatilde.it,Campania,Caserta
Feudo Apiano,info@feudoapiano.it,Campania,Avellino
Fontana Galardi,info@terradilavoro.it,Campania,Caserta
Fontana delle Selve,info@fontanadelleselve.it,Campania,Benevento
Fontanavecchia,info@fontanavecchia.info,Campania,Benevento
Fonzone Caccese,info@fonzone.it,Campania,Avellino
Forno,info@viniforno.it,Campania,Napoli
Francesca Fiasco,francesca.fiasco87@gmail.com,Campania,Salerno
Gran Caruso,info@grancaruso.com,Campania,Salerno
I Borboni,info@iborboni.com,Campania,Caserta
I Capitani,icapitani@icapitani.com,Campania,Avellino
Il Quarto Miglio,info@ilquartomiglio.it,Campania,Napoli
Il Verro,info@ilverro.it,Campania,Caserta
Joaquin Wines,info@joaquinwines.com,Campania,Avellino
La Masserie,info@lamasserie.it,Campania,Caserta
La Vinicola del Titerno,info@lavinicoladeltiterno.it,Campania,Benevento
La Vinicola del Vecchio,info@lavinicoladelvecchio.it,Campania,Benevento
Le Vigne di Raito,info@levignediraito.com,Campania,Salerno
Lunarossa,info@lunarossavini.it,Campania,Salerno
Macchia dei briganti,az.agricoladevito@gmail.com,Campania,Avellino
Masseria Frattasi,info@masseriafrattasi.it,Campania,Benevento
Masseria Vigne Vecchie,info@masseriavignevecchie.com,Campania,Benevento
Montesole,info@montesole.it,Campania,Avellino
Montesomma Vesuvio,montesommavesuvio@live.it,Campania,Napoli
Nardone Nardone,info@nardonenardone.it,Campania,Avellino
Nugnes,info@aziendagricolanugnes.it,Campania,Caserta
Ocone,info@oconevini.it,Campania,Benevento
Perrazzo Vini d`Ischia,perrazzo@perrazzo.it,Campania,Napoli
Podere Veneri Vecchio,commerciale@venerivecchio.com,Campania,Benevento
Primalaterra,info@primalaterra.it,Campania,Salerno
Quadrigato,info@quadrigato.com,Campania,Benevento
Rocca del Principe,info@roccadelprincipe.it,Campania,Avellino
Romano Fioravante Vini,info@fioreromanovini.it,Campania,Napoli
Rossovermiglio,rossovermiglio@virgilio.it,Campania,Benevento
Salvatore Martusciello,info@salvatoremartusciello.it,Campania,Napoli
Sclavia,info@sclavia.com,Campania,Caserta
Sertura Società Agricola,info@sertura.it,Campania,Avellino
Telaro,info@vinitelaro.it,Campania,Caserta
Tenuta Adolfo Spada,info@tenutaspada.it,Campania,Caserta
Tenuta Fontana,info@tenutafontana.com,Campania,Benevento
Tenuta Macellaro,info@tenutamacellaro.com,Campania,Salerno
Tenuta Mainardi,info@tenutamainardi.com,Campania,Salerno
Tenuta Matilde Zasso,info@tenutamatildezasso.it,Campania,Napoli
Tenuta San Francesco,aziendasanfrancesco@libero.it,Campania,Salerno
Tenuta Sarno 1860,info@tenutasarno1860.it,Campania,Avellino
Tenuta Scuotto,info@tenutascuotto.it,Campania,Avellino
Tenuta del Meriggio,info@tenutadelmeriggio.it,Campania,Avellino
Tenute del Fasanella,info@tenutedelfasanella.it,Campania,Salerno
Terre Stregate,terrestregate@libero.it,Campania,Benevento
Terre del Principe,info@terredelprincipe.com,Campania,Caserta
Terre di Valter,info@terredivalter.it,Campania,Avellino
Torricino,info@torricino.it,Campania,Avellino
Urciuolo Vini,info@urciuolovini.com,Campania,Avellino
Vini De Stefano,info@vinidestefano.eu,Campania,Avellino
Vini Fratelli Follo,fratellifollo@libero.it,Campania,Avellino
Vinicola Fior di Vino,info@vinideliso.it,Campania,Napoli
Viticoltori Migliozzi,info@viticoltorimigliozzi.it,Campania,Caserta
Votino,info@aziendavotino.com,Campania,Benevento
Zampino Cantine,info@zampinocantine.it,Campania,Avellino
Agricola Ronzoni,info@vinironzoni.it,Emilia Romagna,Reggio Emilia
Albinea Canali,info@albineacanali.it,Emilia Romagna,Reggio Emilia
Amaracmand,info@amaracmand.it,Emilia Romagna,Forli Cesena
Ariola Vigne e Vini,info@viniariola.it,Emilia Romagna,Parma
Attorpi Angelo,info@viniattorpi.it,Emilia Romagna,Piacenza
Azienda Agraria Severoli,severoli@severoli.it,Emilia Romagna,Bologna
Azienda Agricola Al di là del fiume,danila@aldiladelfiume.it,Emilia Romagna,Bologna
Azienda Agricola Bassi Luigi,info@bassiviniaziendaagricola.com,Emilia Romagna,Bologna
Azienda Agricola Bissoni,info@vinibissoni.com,Emilia Romagna,Forli Cesena
Azienda Agricola Bonfiglio,info@bonfigliovini.it,Emilia Romagna,Bologna
Azienda Agricola Carolina Molducci,info@cantinarapata.eu,Emilia Romagna,Ravenna
Azienda Agricola Colombina,info@colombina.it,Emilia Romagna,Forli Cesena
Azienda Agricola Corte Madonnina,info@cortemadonnina.it,Emilia Romagna,Ferrara
Azienda Agricola Crocizia,info@crocizia.com,Emilia Romagna,Parma
Azienda Agricola Denavolo,denavolo@gmail.com,Emilia Romagna,Piacenza
Azienda Agricola Donati Camillo,camillo@camillodonati.it,Emilia Romagna,Parma
Azienda Agricola Fattoria degli Orsi,info@fattoriadegliorsi.it,Emilia Romagna,Modena
Azienda Agricola Ferrari,info@vignetoferrari.it,Emilia Romagna,Reggio Emilia
Azienda Agricola Gallegati,info@aziendaagricolagallegati.it,Emilia Romagna,Ravenna
Azienda Agricola Il Cortile,info@cantinedallasta.com,Emilia Romagna,Parma
Azienda Agricola Il Poggiarello,info@ilpoggiarellovini.it,Emilia Romagna,Piacenza
Azienda Agricola La Berta,info@poderelaberta.com,Emilia Romagna,Ravenna
Azienda Agricola La Casetta,info@aziendalacasetta.it,Emilia Romagna,Ravenna
Azienda Agricola La Ciocca,info@cantinecampana.it,Emilia Romagna,Piacenza
Azienda Agricola La Colombarola,info@lacolombarola.it,Emilia Romagna,Bologna
Azienda Agricola Luretta,info@luretta.com,Emilia Romagna,Piacenza
Azienda Agricola Marabini,info@fattoriacamerone.it,Emilia Romagna,Ravenna
Azienda Agricola Montelorenzone,info@montelorenzone.it,Emilia Romagna,Forli Cesena
Azienda Agricola Morini Alessandro,info@poderimorini.com,Emilia Romagna,Ravenna
Azienda Agricola Palazzo Manzoni,palazzomanzoni@gmail.com,Emilia Romagna,Ravenna
Azienda Agricola Piacentini,info@fratellipiacentini.com,Emilia Romagna,Piacenza
Azienda Agricola Pusterla,pusterla@vinipusterla.it,Emilia Romagna,Piacenza
Azienda Agricola Ravaglia Grande,wines@ravagliagrande.com,Emilia Romagna,Bologna
Azienda Agricola Rivabella,info@rivabella.it,Emilia Romagna,Bologna
Azienda Agricola Sesenna,info@vinisesenna.it,Emilia Romagna,Piacenza
Azienda Agricola Solenghi Gaetano,info@solenghigaetano.com,Emilia Romagna,Piacenza
Azienda Agricola Spalletti,info@spalletticolonnadipaliano.com,Emilia Romagna,Forli Cesena
Azienda Agricola Spinetta,info@spinetta.it,Emilia Romagna,Ravenna
Azienda Agricola Trerè,trere@trere.com,Emilia Romagna,Ravenna
Azienda Agricola Vigneti Calzetti,info@vigneticalzetti.it,Emilia Romagna,Parma
Azienda Agricola Vitivinicola Alberici Amilcare,vitivinicolaalberici@libero.it,Emilia Romagna,Reggio Emilia
Azienda Agricola Vitivinicola Aradelli,aradellivini@gmail.com,Emilia Romagna,Piacenza
Azienda Agricola Vitivinicola Merli,info@vinimerli.it,Emilia Romagna,Piacenza
Azienda Agricola Vitivinicola Vitali,info@aziendavitali.it,Emilia Romagna,Piacenza
Azienda Agricola Zerioli,info@zeriolivini.com,Emilia Romagna,Piacenza
Azienda Biologica Elena,info@vignacunial.it,Emilia Romagna,Parma
Azienda Vinicola Caprari,info@caprarivini.it,Emilia Romagna,Reggio Emilia
Azienda Vinicola Mattarelli,info@mattarelli-vini.it,Emilia Romagna,Ferrara
Azienda Vinicola Molinelli,info@molinelli.it,Emilia Romagna,Piacenza
Azienda Vinicola Passerini,info@vinipasserini.it,Emilia Romagna,Piacenza
Azienda Vinivinicola La Caminà,info@lacamina.it,Emilia Romagna,Piacenza
Azienda Vitivinicola Badenchini,info@badenchini.com,Emilia Romagna,Piacenza
Azienda Vitivinicola Daturi,info@daturivini.it,Emilia Romagna,Piacenza
Azienda Vitivinicola Formaggini &amp; Peveri,formagginivini@libero.it,Emilia Romagna,Piacenza
Azienda Vitivinicola Gennari,info@vitivinicolagennari.it,Emilia Romagna,Piacenza
Azienda Vitivinicola I Due Aironi,info@idueaironi.it,Emilia Romagna,Bologna
Azienda Vitivinicola La Celata,info@lacelata.it,Emilia Romagna,Piacenza
Azienda Vitivinicola La Moradella,vitivinicolabernini@gmail.com,Emilia Romagna,Piacenza
Aziende Agricole Casamiglio,info@lapioppavini.it,Emilia Romagna,Piacenza
Bargazzi,aziendabargazzi@libero.it,Emilia Romagna,Piacenza
Bassoli,info@cantinabassoli.it,Emilia Romagna,Modena
Borgo Santa Giustina,info@santagiustina.com,Emilia Romagna,Piacenza
Braschi 1949,info@cantinabraschi.com,Emilia Romagna,Forli Cesena
Buzzetti Fabio,aziendabuzzettivini@gmail.com,Emilia Romagna,Piacenza
Ca&#039; Bruciata,info@cabruciata.it,Emilia Romagna,Bologna
Ca&#039; de Noci,info@cadenoci.it,Emilia Romagna,Reggio Emilia
Ca&#039; di Rico,info@cadirico.it,Emilia Romagna,Forli Cesena
Campanacci,info@campanacci.com,Emilia Romagna,Ravenna
Campodelsole,info@campodelsole.it,Emilia Romagna,Forli Cesena
Cantina Arceto,info@cantinadiarceto.it,Emilia Romagna,Reggio Emilia
Cantina Barone,info@cantinabarone.it,Emilia Romagna,Bologna
Cantina Cesena,info@cantinacesena.it,Emilia Romagna,Forli Cesena
Cantina Fantesini,fantesini@cantinafantesini.it,Emilia Romagna,Reggio Emilia
Cantina Intesa,info@cantineintesa.it,Emilia Romagna,Ravenna
Cantina Renzo Zanasi,giulianozanasi@libero.it,Emilia Romagna,Modena
Cantina Sociale Centro di Massenzatico,info@cantinamassenzatico.it,Emilia Romagna,Reggio Emilia
Cantina Sociale Coviolo,info@cantinasocialecoviolo.it,Emilia Romagna,Reggio Emilia
Cantina Sociale Gualtieri,info@cantinasocialegualtieri.it,Emilia Romagna,Reggio Emilia
Cantina Sociale Masone,info@cantinamasonecampogalliano.com,Emilia Romagna,Modena
Cantina Sociale di Faenza,info@cantinafaenza.it,Emilia Romagna,Ravenna
Cantina Sociale di Forlì e Predappio,info@cantinaforlipredappio.it,Emilia Romagna,Forli Cesena
Cantina Sociale di Puianello,info@cantinapuianello.it,Emilia Romagna,Reggio Emilia
Cantina Sociale di S. Croce,info@cantinasantacroce.it,Emilia Romagna,Modena
Cantina Sociale di Settecani,info@cantinasettecani.it,Emilia Romagna,Modena
Cantina Valtidone,segreteria@cantinavaltidone.it,Emilia Romagna,Piacenza
Cantina di Vicobarone S.c.,info@cantinavicobarone.com,Emilia Romagna,Piacenza
Cantine Bacchini,bacchini@cantinebacchini.it,Emilia Romagna,Piacenza
Cantine Bergamaschi,cantinebergamaschi@fortanadeltaro.it,Emilia Romagna,Parma
Cantine Casabella,info@cantinecasabella.com,Emilia Romagna,Piacenza
Cantine Cavicchioli,cantine@cavicchioli.it,Emilia Romagna,Modena
Cantine Cerdelli,info@cantinecerdelli.com,Emilia Romagna,Parma
Cantine Cooperative Riunite,info@riunite.it,Emilia Romagna,Reggio Emilia
Cantine Due Torri,info@cantinaduetorri.it,Emilia Romagna,Reggio Emilia
Cantine Fratelli Bonelli,bonelli@cantinebonelli.it,Emilia Romagna,Piacenza
Cantine Mainetti,info@cantinemainetti.it,Emilia Romagna,Piacenza
Cantine Quattro Valli,info@cantine4valli.it,Emilia Romagna,Piacenza
Cantine Turrini,turrini@turrini.it,Emilia Romagna,Ravenna
Casa Benna,info@casabenna.it,Emilia Romagna,Piacenza
Casa Vinicola Bartolini,info@cantinabartolini.it,Emilia Romagna,Forli Cesena
Casa Vinicola Battistini,info@battistinivini.it,Emilia Romagna,Rimini
Casa Vinicola Poletti,vinipoletti@vinipoletti.com,Emilia Romagna,Bologna
Casa Vinicola Testa,testa@vinitesta.it,Emilia Romagna,Piacenza
Case Marcosanti,info@vinicasemarcosanti.com,Emilia Romagna,Rimini
Cavim,info@cavimimola.it,Emilia Romagna,Bologna
Celli Vini Pregiati,celli@celli-vini.com,Emilia Romagna,Forli Cesena
Chiara Condello,info@chiaracondello.com,Emilia Romagna,Forli Cesena
Civardi,info@cantinacivardi.it,Emilia Romagna,Piacenza
Condé,info@conde.it,Emilia Romagna,Forli Cesena
Conti Guarini Matteucci,info@viniguarini.it,Emilia Romagna,Forli Cesena
Cooperativa Agricola Corte D&#039;Aibo,info@cortedaibo.it,Emilia Romagna,Bologna
Corte Beneficio,info@cortebeneficio.com,Emilia Romagna,Ferrara
Cà Lunga,info@calunga.net,Emilia Romagna,Bologna
Dalfiume Nobilvini,info@dalfiumenobilvini.it,Emilia Romagna,Bologna
Drei Donà,palazza@dreidona.it,Emilia Romagna,Forli Cesena
Due Tigli,commerciale@duetigli.com,Emilia Romagna,Forli Cesena
Fattoria Ca&#039; Rossa,info@fattoriacarossa.it,Emilia Romagna,Forli Cesena
Fattoria Casetto dei Mandorli,casetto@tin.it,Emilia Romagna,Forli Cesena
Fattoria Monticino Rosso,info@fattoriamonticinorosso.it,Emilia Romagna,Bologna
Fattoria Saiana,info@fattoriasaiana.it,Emilia Romagna,Rimini
Fattorie di Montechiaro,info@montechiaro.it,Emilia Romagna,Bologna
Folicello,folicello@folicello.it,Emilia Romagna,Modena
Fondo San Giuseppe,info@fondosangiuseppe.it,Emilia Romagna,Ravenna
Francesca Mara,francesca@francescamara.it,Emilia Romagna,Reggio Emilia
Fratta Minore,info@lafrattaminore.it,Emilia Romagna,Bologna
Gaggioli,info@gaggiolivini.it,Emilia Romagna,Bologna
Garuti,info@garutivini.it,Emilia Romagna,Modena
Gavioli Antica Cantina &amp; Donelli Vini,info@donellivini.it,Emilia Romagna,Reggio Emilia
Gualdora,info@gualdora.it,Emilia Romagna,Piacenza
I Perinelli,iperinelli@cascinaclarabella.it,Emilia Romagna,Piacenza
Il Pozzo,info@ilpozzodiferri.it,Emilia Romagna,Forli Cesena
La Morattina,info@morattina.it,Emilia Romagna,Ravenna
La Sabbiona,info@lasabbiona.it,Emilia Romagna,Ravenna
Lamoretti,info@lamoretti.eu,Emilia Romagna,Parma
Le Rocche Malatestiane,commerciale@lerocchemalatestiane.com,Emilia Romagna,Rimini
Le Romagnole,info@leromagnole.it,Emilia Romagna,Ravenna
Leone Conti,info@leoneconti.it,Emilia Romagna,Ravenna
LuVa,info@luvass.it,Emilia Romagna,Forli Cesena
Malvicini,info@cavida.it,Emilia Romagna,Piacenza
Marchese Malaspina,info@marchesemalaspina.com,Emilia Romagna,Piacenza
Maria Galassi,info@galassimaria.it,Emilia Romagna,Forli Cesena
Mingazzini,info@cantinamingazzini.it,Emilia Romagna,Bologna
Montevecchio Isolani,info@montevecchioisolani.it,Emilia Romagna,Bologna
Mossi 1558,info@mossi1558.com,Emilia Romagna,Piacenza
Podere Carlo Fantini,poderefantini@gmail.it,Emilia Romagna,Forli Cesena
Podere Casale,info@poderecasale.it,Emilia Romagna,Piacenza
Podere Dal Nespoli,info@poderidalnespoli.com,Emilia Romagna,Forli Cesena
