Azienda,Conosciuti a / Fonte,Contacting,Email,Sitoweb,Indirizzo,cap,città,provincia,regione,contatto,Telefono,P.Iva,CODICE FISCALE,CODICE UNIVOCO,Annotazioni,shop on line,Closing,Presentazione,Ultimo contatto,Duplicato
U Mattà Di Luca Deperi,FIVI,,famigliadeperi@gmail.com,umatta.it,"Borgata Bonfigliara, 10",18020,Ranzo,Imperia,Liguria,,3334897602,,,,anche olio e frantoio,,,,1/27/2025,
Az. Agricola Brandini,,,brandini@agricolabrandini.it,agricolabrandini.it/it/,Borgata Brandini 16,12064,La Morra,Cuneo,Piemonte,,017350266,,,,si visite hanno anche ristorante e relais,,,,1/26/2025,
Poderi Luigi Einaudi Azienda Agricola Srl,,,matteo@poderieinaudi.com,poderieinaudi.com/,"Borgata Gombe, 31/32",12063,Dogliani,Cuneo,Piemonte,,017370191,,,,hanno risposto alla mail voglion o iscriversi bellissima azienda rob dice di organizzare call per provare a portarli su stappando,,,,12/8/2024,
Az. Agricola Abbona Marziano,,,abbona@abbona.com,abbona.com/,"Borgata S. Luigi, 40",12063,Dogliani,Cuneo,Piemonte,,0173721317,,,,,,,,1/26/2025,
Poderi Gianni Gagliardo,Paestum Wine Fest,Alessandra,paolo@gagliardo.it,gagliardo.it,"Borgata Serra Dei Turchi, 88",12064,La Morra,Cuneo,Piemonte,Paolo Gagliardo,3336428921,,,,Molto disponibile è già su vineis e pubblica,,Nessun Feedback,,12/4/2024,
Pecchenino,,,pecchenino@pecchenino.it,pecchenino.it,"Borgata Valdiberti, 59",12063,Dogliani,Cuneo,Piemonte,,017370686,,,,,,,,,
Santa Barbara - Stefano Antonucci,Conosciuti da iovino,Roberto,info@vinisantabarbara.it,santabarbara.it/,"Borgo Mazzini, 35",60010,Barbara,Ancona,Marche,Stefano Antonucci,0719674681,,,,reinviata presentazione 13 ago,,Nessun Feedback,,12/11/2024,
Cantine Elisium,FIVI,,andrea.caputo978@gmail.com,ND,"Borgo Partenope Contrada Serre, 8",87100,Cosenza,Cosenza,Calabria,Andrea Caputo,3281143418,,,,,,,,12/6/2024,
Cantina Villa Gianna,,Andrea,info@cantinavillagianna.it,www.cantinavillagianna.it,"Borgo San Donato Strada Maremmana, S.C.",04016,Sabaudia,Latina,Lazio,Gianluca Giannini,3272931429,,,,"RICONTATTARE PER VINEIS. Abbiamo fatto una call io e andrea tomasucci, erano interessati ma spoi nulla. Sono listati su stappando e vivino",,Declinato,,12/4/2024,
Conti Riccati,,,wine@contiriccati.it,contiriccati.it/,"Borgo Treviso, 3",31033,Castel Franco Veneto,Treviso,Veneto,,3466476186,,,,,,,,12/10/2024,
Az. Agricola  Cesca Daniele,,,cesca.daniele@gmail.com,cescadaniele.com/,"Bricco Cappuccini, 1",14036,Moncalvo,Asti,Piemonte,,3495142449,,,,"vini naturali anche orto ha risposto alla mail chiedendo info ,mandate presentaZioni e mail riepilogatoiva sentito il 10 feb. dice che lui è solo in cantina per stappando scettico nn sa se riesce a gestire le spedizioni ma per vineis piu convinto ci fa un ragionamento e mi fa sapere",,,,1/21/2025,
Az. Pietracupa Di Sabino Loffredo,FIVI,,pietracupa@email.it,ND,"Contrada Vadiaperti, 17",83030,Montefredane,Avellino,Campania,,0825607418,,,,,,,,12/5/2024,
Azienda Agricola Santus ,,,info@santus.it,santus.it,"Via Case Sparse, 2",25050,Passirano,Brescia,Lombardia,Maria Luisa,3486512920,,,,LI DISTRIBUISCE RINALDI. INUTILE CONTATTARLI,,,,12/4/2024,
Az. Agricola Marco Porello,,,info@porellovini.it,porellovini.it/,"Corso Alba, 71",12043,Canale,Cuneo,Piemonte,,0173979324,,,,,,,,1/26/2025,
Azienda Vitivinicola Tola ,,,info@vinitola.it,vinitola.com/,Contrada Grassuri Airoldi,90047,Partinico,Palermo,Sicilia,Francesco,3272066183,,,,ok parlato con francesco ha risposto alla mail - mandate presentazioni 20 genn ok iscritto a stappando si isceive anche a vinesi attendere contratti - iviati contratti firmati,,,,1/18/2025,
Società Agricola Antico Castello S.A.S Di Francesco Romano E C.,Biglietto di Claudio,Claudio,info@anticocastello.com,anticocastello.com,"Contrada Poppano, 11 Bis",83050,San Mango Sul Calore,Avellino,Campania,Francesco Romano,3281076491,,,,"CONTATTARE. Lo abbiamo lavorato con Stappando, poi ci siamo persi, ma si può ricontattare",,Nessun Feedback,,12/5/2024,
Termine Grosso,FIVI,,terminegrosso@gmail.com,terminegrosso.com,"Contrada Termine Grosso, S.N.C.",88835,Roccabernarda,Crotone,Calabria,,3924507831,,,,si visite anche hospitality a 2 km dal mare,,,,12/6/2024,
Aspromonte,FIVI,,pasquale.polifroni@gmail.com,aspromontevini.it,"Contrada Vignali, S.N.C.",89040,Ciminà,Reggio-Calabria,Calabria,,393477574289,,,,,,,,12/18/2024,
Principe Delle Baccanti - Azienda Agricola Palazzo Livio,FIVI,,info@principedellebaccanti.com,principedellebaccanti.com,"Contrada Petrole, 70",86011,Baranello,Campobasso,Molise,,0874460146,,,,,,,,1/16/2025,
Cantina Masseria Torricella ,,,info@cantinamasseriatorricella.it,cantinamasseriatorricella.it/,"Canale Di Pirro, Sp81, Km 3",70011,Alberobello,bari,Puglia,Giuseppe,3277827365,,,,"ha risposto vuole info inviata intanto pres, vineis sentito 9 gennaio spiegato tutto mandare anche pres. stappando",si,,,1/8/2025,
Etnella Di Davide Bentivegna,,,info@etnella.com,it.etnella.com/etnella-contact-us,"Cantina: Via Castiglione, 25",95012,Passopisciaro,Catania,Sicilia,,3386365933,,,,si visite anche hospitality ha risposto alla mail 18 genn è interessato chiamare lunedi,,,,1/18/2025,
Zorutti,,,info@zoruttivini.com,zoruttivini.com/,Casali Zorutti 5,34070,Dolegna del Collio,Gorizia,Friuli Venezia Giulia,,048160763,,,,No Bottiglia Collio,,,,3/10/2025,
La Rocchetta Di  Mondondone,,,larocchettadimondondone@gmail.com,larocchettadimondondone.com/,"Cascina Pasotti, 1",27050,Codevilla,Pavia,Lombardia,,3339864833,,,,vini naturali anche agriturismo,,,,1/20/2025,
Marco Cecchini,FIVI,,info@cecchinimarco.com,cecchinimarco.com,"Case Cos, 39",33040,Faedis,Udine,Friuli Venezia Giulia,,3405944542,,,,"ABBIAMO LAVORATO I LORO PRODOTTI TRAMITE VIGNAIOLI INDIPENDENTI,(ENRICO). CI PIACEREBBE AVERE UN CONTATTO DIRETTO CON LORO E AVERLI A BORDO DEL GRUPPO, BUONI X STAPPANDO (CON PRIMO ORDINE ""SCAMBIO MERCE"" PER VEDERE SE POSSONO ANCORA ANDARE. NOI LI ABBIAMO VENDUTI SUL SITO, NON MOLTISSIMI MA QUALCHE BOTTIGLIA SI.",,,,2/16/2025,
Casali Magnis,FIVI,,malina0@rocketmail.com,fb:CantinaCasaliMagnis,"Case In Magnis, 56",33040,Remanzacco,Udine,Friuli Venezia Giulia,,3288293325,,,,,,,,2/10/2025,
Caparsa,,,caparsa@caparsa.it,caparsa.it,"Case Sparse Caparsa, 47",53017,Radda in Chianti,Siena,Toscana,,0577738174,,,,chianti,,,,12/15/2024,
Berioli ,,,info@cantinaberioli.it,cantinaberioli.it/it/,"Casesparse, 21",06063,Montesperello Di Magione,Perugia,Umbria,,3355498173,,,,si visite,,,,3/5/2025,
Tenuta Del Terriccio,,,info@terriccio.it,terriccio.it/,"Castello Del Terriccio, Via Bagnoli, 16 - Località Terriccio",56040,Terriccio,Pisa,Toscana,,050699709,,,,,,,,12/9/2024,
Castello Di Bossi ,,,agriturismo@castellodibossi.it,castellodibossi.it,Castello Di Bossi In Chianti,53019,Castelnuovo Berardenga,Siena,Toscana,,0577359330,,,,chianti,,,,12/15/2024,
Castello Di Meleto,,,enoteca@castellomeleto.it,castellomeleto.it/,Castello Di Meleto,53013,Gaiole in Chianti,Siena,Toscana,,057749129,,,,chianti,,,,12/15/2024,
Castello Banfi,,,banfi@banfi.it,banfi.it,Castello Di Poggio Alle Mura,53024,Montalcino,Siena,Toscana,,0577840111,,,,,,,,,
Cave Mont Blanc De Morgex Et La Salle Soc.Coop.,,,info@cavemontblanc.com,cavemontblanc.com,"Chemin Des Iles, 31- Frazione La Ruine",11017,Morgex,Aosta,Valle d'Aosta,,0165800331,,,,si visite,si,,,1/27/2025,
Cantine Pliniana ,,,direzione@cantinepliniana.it,cantinepliniana.it,"Circonvallazione Taranto-Lecce, 159",74024,Manduria,Taranto,Puglia,,0999794273,,,,,,,,2/4/2025,
Conti Costanti,,,info@costanti.it,costanti.com/,Colle Al Matrichese,53024,Montalcino,Siena,Toscana,,0577848195,,,,montalcino,,,,12/15/2024,
Azienda Agricola Romanelli,,,info@romanelli.wine,romanelli.wine/,"Colle San Clemente, 129/A",06036,Montefalco,Perugia,Umbria,,3479065613,,,,si visite + olio e distillati,,,,12/17/2024,
Gaiaschi Terenzio,FIVI,,info@gaiaschivini.it,gaiaschivini.it,"Colombaia Guffanti, 198",29010,Ziano Piacentino,Piacenza,Emilia Romagna,,523868109,,,,,,,,12/6/2024,
Cantina Fosso Degli Angeli ,,,info@fossodegliangeli.it,fossodegliangeli.it,"Contrada Acquaro, S.C.",82027,Casalduni,Benevento,Campania,,3492662936,,,,inviata email presentazione,,,,12/5/2024,
Cantina Le Colline,FIVI,,speranzaconti@gmail.com,cantinalecolline.com,"Contrada Acquasalata, 16",62029,Tolentino,Macerata,Marche,,3939101410,,,,,,,,3/8/2025,
Accadia,FIVI,,evelyn@accadiavini.it,accadiavini.it,"Contrada Ammorto, 19",60040,Serra San Quirico,Ancona,Marche,,3336214628,,,,molto carine le etichette,,,,12/11/2024,
Giovinco Wines,,,info@giovincowines.it,giovincowines.it/,"Contrada Anguilla, Snc",92017,Sambuca di Sicilia,Agrigento,Sicilia,antonino oddo,3455948625,,,,Farlo iscrivere a Stappando,,,,8/19/2024,
Cautiero,FIVI,,info@cautiero.it,cautiero.it,Contrada Arbusti S.N.C.,82030,FRASSO TELESINO,Benevento,Campania,,3387640641,,,,,,,,12/5/2024,
Antonio Molettieri,Conosciuti da iovino,,cantinaantoniomolettieri@gmail.com,castelfranci.com/vino/le-cantine/antonio-molettieri,"Contrada Baiano, 22",83040,Castelfranci,Avellino,Campania,Antonio Molettieri,3489383922,,,,aglianico doc,,Nessun Feedback,,12/5/2024,
Le Masciare,,,info@lemasciare.com,lemasciare.com,"Contrada Barbassano S.N,C.",83052,Paternopoli,Avellino,Campania,,3208418815,,,,CONTATTARE. ABBIAMO ACQUISTATO I LORO VINI DA ROCCHI. INTERESSANTI E BUONI. PRODOTTO RICERCATO.,,,,12/5/2024,
La Boscaiola - Vigneti Cenci,,Roberto,maurizio.bassi@vigneticenci.com,vigneticenci.com/,"Via Riccafana, 19",25033,Cologne,Brescia,Lombardia,Maurizio Bassi,3385034834,,,,reinviata presentazione 13 agosto franciacorta,,,,12/4/2024,
Le Senate,,,info@lesenate.it,lesenate.it/,"Contrada Barbolano, 14",63824,Altidona,Fermo,Marche,,3487807017,,,,degustazioni da aprile a settembre,,,,12/6/2024,
Tenuta Bastonaca,,,info@tenutabastonaca.it,tenutabastonaca.it/,Contrada Bastonaca,97019,Vittoria,Ragusa,Sicilia,,3486674177,,,,si visite,si,,,1/16/2025,
Cantina Fina - Kikè,,,info@cantinefina.it,cantinefina.it/,Contrada Bausa S.C.,91025,Marsala,Trapani,Sicilia,,0923733070,,,,,,,,12/6/2024,
Valle Dell'Acate,,,info@valledellacate.it,valledellacate.com/,Contrada Bidini Soprano E Sottano,97011,Acate,Ragusa,Sicilia,,0932874166,,,,si visite,si,,,2/25/2025,
Azienda Agricola Mazzarosa Devincenzi S.S.A.,,,vinimazzarosa@gmail.com,mazzarosa.com,Contrada Borsacchio,64026,Roseto degli Abruzzi,Teramo,Abruzzo,,858991128,,,,hospitality nei trulli,,,,1/9/2025,
Petracastalda,FIVI,,petracastalda@gmail.com,cantinapetracastalda.com,"Contrada Boscarelli, 3",85050,Sasso di Castalda,Potenza,Basilicata,,3394399860,,,,ha firmato sia per stappando che per vineis in attesa di dati per aftturazione e tipologia svcatole da inviare,,,,10/31/2024,
Cantina Cianfagna,FIVI,,agricola@cianfagna.com,cianfagna.com,"Contrada Bosco Pampini, 3",86030,Acquaviva Collecroce,Campobasso,Molise,,3332776776,,,,,,,,1/16/2025,
Tenuta La Favola ,,,amministrazione@tenutalafavola.it,tenutalafavola.it,Contrada Buonivini,96017,Noto,Siracusa,Sicilia,,3515227321,,,,si visite,si,,,1/16/2025,
Terre Di Noto ,,,infoterredinoto@gmail.com,terredinoto.it/,"Contrada Burgio-Coste Fredde - S.P.N 22 Pachino-Ispica Km. 6,5",96017,Noto,Siracusa,Sicilia,,3203625972,,,,si visite vino olio,si,,,1/16/2025,
Tenuta Delle Terre Nere,,,visite@tenutaterrenere.com,tenutaterrenere.com,"Contrada Calderara, Sn",95036,Randazzo,Catania,Sicilia,, 095924002,,,,,,,,,
Azienda Vitivinicola Falciglia,,,info@falciglia.it,falciglia.it,"Contrada Campofreddo, 5",75028,Tursi,Matera,Basilicata,,0835810174,,,,,,,,12/15/2024,
Brigante Lucano ,,,infobrigantelucano@gmail.com,brigantelucano.com,"Contrada Cannitelli, 19",85010,Vaglio Basilicata,Potenza,Basilicata,,3481349940,,,,,,,,1/20/2025,
Macchie Santa Maria Cantine,FIVI,,info@macchiesantamaria.com,macchiesantamaria.it/,"Contrada Caponi, S.N.C.",83038,Montemiletto,Avellino,Campania,,825963476,,,,,,,,12/5/2024,
Cantina 600 Grotte,,,info@600grotte.it,600grotte.it,"Contrada Capriccio, 23",85032,Chiaramonte,Potenza,Basilicata,,3495791706,,,,si visite soi shop vinificazione in purezza del Guarnaccino Nero di Chiaromonte _ no email su sito mandat messaggio da modulo di contatto,,,,2/7/2025,
Assuli Baglio,,,info@assuli.it,assuli.it,Contrada Carcitella,91026,Mazara del Vallo,Trapani,Sicilia,,09231987742,,,,,,,,,
"Az.Agricola Vasari 1628 Santa Lucia Del Mela, Messina",,,info@vinivasari.it,vinivasari.it,Contrada Casale,98046,Messina,Messina,Sicilia,,0909359554,,,,,,,,1/8/2025,
Donato Di Tommaso Vignaiolo,FIVI,,donato.ditommaso@gmail.com,DONATODITOMMASO.IT,Contrada Casalonga,65020,ROSCIANO,Pescara,Abruzzo,,3497885641,,,,,,,,12/4/2024,
Cantina Pileum,,,info@pileum.it,pileum.it,Contrada Casalotto S.C.,03010,Piglio,Frosinone,Lazio,,3663129910,,,,,,,,1/9/2025,
Casebianche,FIVI,,info@casebianche.eu,casebianche.eu,"Contrada Case Bianche, 8",84076,TORCHIARA,Salerno,Campania,,3358147332,,,,,,,,12/5/2024,
Venturi Roberto,FIVI,,roberto@viniventuri.it,viniventuri.it,"Contrada Case Nuove, 1/A",60010,Castellone di Suasa,Ancona,Marche,,71966635,,,,,,,,12/11/2024,
Boccadigabbia,FIVI,,info@boccadigabbia.com,boccadigabbia.com,"Contrada Castelletta, 56",62012,Civitanova Marche,Macerata,Marche,,73370728,,,,,,,,3/8/2025,
Feudo Di Castelmozzo - Az. Agricola Annichiarico,,,info@feudodicastelmozzo.it,feudodicastelmozzo.it/,Contrada Castelmozzo,83030,Castelmozzo,Avellino,Campania,,0825/964219–3283273516,,,,si visite si hospitality si shop anche olio,,,,12/5/2024,
Tombolini ,,,info@tombolinivini.it,tombolinivini.it/,"Contrada Cavalline, 2",60039,Staffolo,Ancona,Marche,,3337990929,,,,,,,,12/6/2024,
Ognissole ,,,nd,ND,Contrada Cefalicchio Sp 143 Km 3,76012,Canosa Di Puglia,Barletta-Andria-Trani,Puglia,,3371465455,,,,,,,,,
Contrada Mito,Paestum Wine Fest,,info@contradamito.it,contradamito.it/,"Contrada Cerrete, 30",83043,Montella,Avellino,Campania,Gerardo Palmieri,3488069745,,,,,,,,12/5/2024,
Battifarano,,,info@battifarano.com,battifarano.com,"Contrada Cerrolongo, 1",75020,Nova Siri,Matera,Basilicata,,835536174,,,,si visite si hospitality,,,,12/15/2024,
Adelina Molettieri,FIVI,,info@adelinamolettieri.it,adelinamolettieri.it,"Contrada Chianzano, 34",83040,Montemarano,Avellino,Campania,,3273412004,,,,,,,,12/5/2024,
Cantine Delite,FIVI,,info@cantinedelite.it,cantinedelite.it,"Contrada Chianzano, 7",83040,Montemarano,Avellino,Campania,,3492418476,,,,,,,,12/5/2024,
Tenute De Lisio Azienda Vitivinicola ,,,info@tenutadelisio.it,tenutadelisio.it,"Contrada Chianzano, 77",83040,Montemarano,Avellino,Campania,Carlo,3925324359,,,,,,,,,
Az. Agricola Pietracava,,,info@pietracava.it,pietracava.it/,Contrada Chiarchiaro Km 4 Sp8,93011,Butera,Caltanissetta,Sicilia,,09341935592,,,,vino olio si shop on line eventi in vigna,,,,12/6/2024,
Cantina Maroni,FIVI,,info@vinimaroni.it,vinimaroni.it/,"Contrada Ciafone, 104",63073,Offida,Ascoli-Piceno,Marche,,3331381166,,,,,,,,3/8/2025,
Barcaroli Società Agricola Ciù Ciù,,,info@ciuciutenimenti.it,ciuciutenimenti.it/,"Contrada Ciafone, 106",63073,Offida,Ascoli-Piceno,Marche,,0736810001,,,,mandato messaggio su sito no email,,,,12/8/2024,
Vini Clandestini,,,info@viniclandestini.it,viniclandestini.it,"Contrada Ciafone, 125",63073,Offida,Ascoli-Piceno,Marche,,ND,,,,vini naturali,,,,1/28/2025,
Terra Argillosa,FIVI,,paolini@terrargillosa.com,terrargillosa.com,"Contrada Ciafone, 79",63073,Offida,Ascoli-Piceno,Marche,,736099976,,,,si visite,,,,12/4/2024,
Aurora,FIVI,,enrico@viniaurora.it,viniaurora.it,"Contrada Ciafone, 98",63073,Offida,Ascoli-Piceno,Marche,,736810007,,,,,,,,12/18/2024,
Masseria Duca D’Ascoli,,,nd,ND,"Contrada Cisterna Monte Pidocchio Ss 110, Km. 13",71025,Castelluccio dei Sauri,Foggia,Puglia,,0881962188,,,,,,,,,
Il Quercetto,,,info@ilquercetto.it,ilquercetto.it/,"Contrada Civita, 16",66020,Pollutri,Chieti,Abruzzo,,3889906859,,,,hanno sito on line e una area dedicata a horeca privare per vineis e per scatole hannop risposto mandato contratto vineis richiamare,,,,1/27/2025,
Di Meo,,,info@dimeo.it,dimeo.it,"Contrada Coccovoni, 1",83050,Salza Irpina,Avellino,Campania,,825981419,,,,,,,,12/5/2024,
Azienda Vitivinicola Petrucca E Vela,,,info@cesanese.it,cesanese.it,Contrada Coce,03010,Piglio,Frosinone,Lazio,Tiziana,3339373556,,,,contattare incontrati 4/07 a bere rosa inviata presentazione spingere su vineis,,,,3/10/2025,
Milana Di Milana Gioacchino,FIVI,,aziendaagricolamilana@gmail.com,aziendaagricolamilana.com,"Contrada Colle Canino, S.C.",00035,Olevano Romano,Roma,Lazio,,3487052739,,,,,,,,12/11/2024,
Le Cantine Di Figaro ,,,info@lecantinedifigaro.it,lecantinedifigaro.it/,Contrada Colle Del Giglio,63065,Ripatransone,Ascoli-Piceno,Marche,,3475879612,,,,,,,,12/6/2024,
Società Agricola Colle Florido Di Trolio D. E Ugolotti A. S.S.,,,info@colleflorido.it,colleflorido.it/,Contrada Colle Florido 6/A,65019,Pianella,pescara,Abruzzo,,3288755031,02164800688,,Az.Agricola.Colleflorido@Pec.It,,,,,10/0372025,
Alberto Giacobbe,FIVI,,info@vinigiacobbe.it,"www,vinigiacobbe.it",Contrada Colle San Giovenale S.C.,03018,Paliano,Frosinone,Lazio,,3298738052,,,,,,,,12/18/2024,
Casa Comerci ,FIVI,,info@casacomerci.it,casacomerci.it,"Contrada Comerci, 6",89844,Badia di Nicotera,Vibo-Valentia,Calabria,,3297139942,,,,(VINI TOP - Li abbiamo lavorati li abbiamo comprati da VIgnaioli VOlanti),,,,12/6/2024,
Società Agricola Nicoletta De Fermo S.S. - Le Cince,,,info@defermo.it,defermo.it,Contrada Cordano,65014,Loreto Aprutino,Pescara,Abruzzo,,0858289136,,,,,,,,12/4/2024,
Le Casematte,,,info@lecasematte.it,lecasematte.it/,Contrada Corso,98159,Messina,Messina,Sicilia,,0906409427,,,,,,,,1/19/2025,
Terrantiqua,FIVI,,info@terrantiqua.it,terrantiqua.it,"Contrada Crocelle, S.N.C.",82027,Casalduni,Benevento,Campania,,3293759139,,,,,,,,12/5/2024,
Tenuta Gatti,,,info@tenutagatti.com,tenutagatti.com/,Contrada Cuprani,98064,Librizzi,Messina,Sicilia,,3291834237,,,,,si,,,1/19/2025,
Quarta Generazione,,,info@quartagenerazione.com,quartagenerazione.com,Contrada Da Macarico,85022,Barile,Potenza,Basilicata,,3342039805,,,,,,,,12/15/2024,
Principi Di Butera,,,info@principidibutera.it,principidibutera.it,"Contrada Deliella, Sp12",93011,Butera,Caltanissetta,Sicilia,,0934346722,,,,,,,,12/17/2024,
Planeta,,,planeta@planeta.it,planeta.it,Contrada Dispensa ,92013,Menfi,Agrigento,Sicilia,,0925 80236,,,,,,,,,
Azienda Agricola Maria Ernesta Berucci,FIVI,,mariaernestaberucci@gmail.com,mariaernestaberucci.com,"Contrada Elcini, 1",03010,Piglio,Frosinone,Lazio,,3479408300,,,,,,,,12/18/2024,
Riofavara,,,info@riofavara.it,riofavara.it/,Contrada Favara,97014,Ispica,Ragusa,Sicilia,,932705130,,,,si visite,,,,1/18/2025,
Baglio Del Cristo Di Campobello,,,mail@cristodicampobello.it,cristodicampobello.it,Contrada Favarotta Strada Statale 123 Km. 19,92023,Campobello di Licata,Agrigento,Sicilia,,0922883214,,,,,,,,,
Graci,,,info@graci.eu,graci.eu/,"Contrada Feudo Di Mezzo, Sp7Iii, Passopisciaro",95012,"Castiglione di Sicilia,",Catania,Sicilia,,3487016773,,,,,,,,3/4/2025,
Saputi,FIVI,,info@saputi.it,saputi.it,"Contrada Fiastra, 1",62020,Colmurano,Macerata,Marche,,3407739278,,,,,,,,12/4/2024,
Azienda Agricola Filice Francesco,FIVI,,cerzaserra.wine@gmail.com,ND,Contrada Fiego S.N.C.,87100,Cosenza,Cosenza,Calabria,,3496842238,,,,,,,,12/6/2024,
Agricola Fiorano,FIVI,,info@agrifiorano.it,agrifiorano.it,"Contrada Fiorano, 19",63067,Cossignano,Ascoli-Piceno,Marche,,73598247,,,,vini naturali certificata bio e anche olio bio,,,,1/23/2025,
Fontorfio,FIVI,,info@fontorfio.it,fontorfio.it,"Contrada Fiorano, 4",63067,Cossignano,Ascoli-Piceno,Marche,,735736076,,,,,,,,12/4/2024,
Tenuta Santoro Tenuta Santoro,,,info@sarolo.it,sarolo.it/,Contrada Foggia Di Sauro,72017,Ostuni,Brindisi,Puglia,,0804395413,,,,V A L L E d’ I T R I A I.G.T.,,,,12/15/2024,
Azienda Vitivinicola Brocani,,,info@cantinabrocani.it,cantinabrocani.it,"Contrada Follonica, 13",60039,Staffolo,Ancona,Marche,Giuseppe,3339078622,,,,,,,,12/6/2024,
Nativ ,,,info@nativsrl.it,vininativ.it/,"Contrada Fontanelle, 37 B",83035,Grottaminarda,Avellino,Campania,,0825460611,,,,,,,,12/5/2024,
Villa Forano,FIVI,,info@fattoriaforano.it,fattoriaforano.it,"Contrada Forano, 43",62010,Appignano,Macerata,Marche,,73357102,,,,agriturismo,,,,12/4/2024,
Agricola Migrante,FIVI,,info@migrante.it,migrante.it,Contrada Formale S.C.,00035,Olevano Romano,Roma,Lazio,,3921663278,,,,,,,,12/11/2024,
Paterno ,,,info@vinipaterno.com,vinipaterno.com/,Contrada Fornaci,83052,Peternopoli,Avellino,Campania,,082771473,,,,olio vino,,,,12/5/2024,
Marco De Bartoli- Samperi,,,info@marcodebartoli.com,marcodebartoli.com/,"Contrada Fornara Samperi, 292",91025,Marsala,Trapani,Sicilia,,0923962093,,,,"C.Da Bukkuram 9, 91017 Pantelleria (TP)- prezzi alti tanti premi",si,,,12/6/2024,
Il Colle Del Corsicano,FIVI,,info@ilcolledelcorsicano.it,ilcolledelcorsicano.it,"Contrada Franco, S.N.C.",84048,San Marco,Salerno,Campania,,3398471226,,,,,,,,12/5/2024,
Le Vigne Di Clementina Fabi,FIVI,,info@levignediclementinafabi.it,levignediclementinafabi.it,"Contrada Franile, 3",63069,Montedinove,Ascoli-Piceno,Marche,,736828217,,,,"CONTATTARE. CONOSCIUTI AL IOVINO A ROMA, BELLA AZIENDA NON GRANDISSIMA, POSSONO ESSERE INTERESSATI A NOI",,,,12/4/2024,
Tenuta Morganti,FIVI,,tenutamorganti@gmail.com,tenutamorganti.com,"Contrada Frole, 8 A",64010,Torano Nuovo,Teramo,Abruzzo,,3495620519,,,,hanno risposto alla mail e mandato listino fatta call 9 settembre attendiamo loro listino per proporre solito acquisto cambio merci,,,,12/4/2024,
Cameli Irene,FIVI,,info@vinorossomarche.it,vinorossomarche.it/,"Contrada Gaico, 19",63081,Castorano,Ascoli-Piceno,Marche,,73687435,,,,,,,,3/8/2025,
Baglio Bonsignore ,,,info@bagliobonsignore.it,bagliobonsignore.com/,Contrada Giddio – Strada Statale 410,92028,Naro,Agrigento,Sicilia,,3346833574,,,,si visite,si,,,1/16/2025,
Tenute Gigliotto ,,,gigliotto@gigliotto.com,gigliotto.com/,Contrada Gigliotto Strada Statale. 117 Bis Km 60,95040,S. Michele di Ganzaria,Catania,Sicilia,,3917340376,,,,agriturismo eventi matrimoni nn vedo prodotti ma magari una degustazione la possono organizzre il psto è molto bello,,,,1/16/2025,
